ticker,company,reason
ITC,"ITC Ltd
",Cannot operate on a closed database.
IOC,"Indian Oil Corporation
",Cannot operate on a closed database.
IRCTC,Indian Railway Catering & Tourism Corporation Ltd,Cannot operate on a closed database.
IRFC,Indian Railway Finance Corporation Ltd,Cannot operate on a closed database.
INDUSINDBK,IndusInd Bank Ltd,Cannot operate on a closed database.
NAUKRI,Info Edge (India) Ltd,Cannot operate on a closed database.
INFY,Infosys Ltd,Cannot operate on a closed database.
INDIGO,Interglobe Aviation Ltd,Cannot operate on a closed database.
JSWENERGY,JSW Energy Ltd,Cannot operate on a closed database.
JSWSTEEL,JSW Steel Ltd,Cannot operate on a closed database.
JINDALSTEL,Jindal Steel & Power Ltd,Cannot operate on a closed database.
JIOFIN,Jio Financial Services Ltd,Cannot operate on a closed database.
KOTAKBANK,"Kotak Mahindra Bank Ltd
",Cannot operate on a closed database.
LTIM,LTIMindtree Ltd,Cannot operate on a closed database.
LT,Larsen & Toubro Ltd,Cannot operate on a closed database.
LICI,Life Insurance Corporation of India,Cannot operate on a closed database.
LODHA,Macrotech Developers Ltd,Cannot operate on a closed database.
M&M,"Mahindra & Mahindra Ltd
",Cannot operate on a closed database.
MARUTI,Maruti Suzuki India Ltd,Cannot operate on a closed database.
NHPC,"NHPC Ltd
",Cannot operate on a closed database.
NTPC,NTPC Ltd,Cannot operate on a closed database.
NESTLEIND,Nestle India Ltd,Cannot operate on a closed database.
ONGC,Oil & Natural Gas Corpn Ltd,Cannot operate on a closed database.
PIDILITIND,Pidilite Industries Ltd,Cannot operate on a closed database.
PFC,Power Finance Corporation Ltd,Cannot operate on a closed database.
POWERGRID,Power Grid Corporation of India Ltd,Cannot operate on a closed database.
PNB,Punjab National Bank,Cannot operate on a closed database.
RECLTD,REC Ltd,Cannot operate on a closed database.
RELIANCE,"Reliance Industries Ltd
",Cannot operate on a closed database.
SBILIFE,SBI Life Insurance Company Ltd,Cannot operate on a closed database.
MOTHERSON,Samvardhana Motherson International Ltd,Cannot operate on a closed database.
SHREECEM,Shree Cement Ltd,Cannot operate on a closed database.
SHRIRAMFIN,"Shriram Finance Ltd
",Cannot operate on a closed database.
SIEMENS,Siemens Ltd,Cannot operate on a closed database.
SBIN,State Bank of India,Cannot operate on a closed database.
SUNPHARMA,Sun Pharmaceuticals Industries Ltd,Cannot operate on a closed database.
TVSMOTOR,TVS Motor Company Ltd,Cannot operate on a closed database.
TCS,Tata Consultancy Services Ltd,Cannot operate on a closed database.
TATACONSUM,Tata Consumer Products Ltd,Cannot operate on a closed database.
TATAMOTORS,Tata Motors Ltd,Cannot operate on a closed database.
TATAPOWER,"Tata Power Company Ltd
",Cannot operate on a closed database.
TATASTEEL,"Tata Steel Ltd
",Cannot operate on a closed database.
TECHM,Tech Mahindra Ltd,Cannot operate on a closed database.
TITAN,"Titan Company Ltd
",Cannot operate on a closed database.
TORNTPHARM,Torrent Pharmaceuticals Ltd,Cannot operate on a closed database.
TRENT,Trent Ltd,Cannot operate on a closed database.
